age,transaction_amount,account_balance,num_transactions_today,is_foreign_transaction,transaction_hour,prev_fraud_flag,merchant_distance_km,merchant_risk_score,is_fraud
41,2453.81,12686.5,21,no,9,no,2438.2,5.2,no
49,1574.12,36337.02,37,no,4,no,2967.1,8.4,yes
38,14897.42,23295.64,21,no,0,no,4703.6,3.7,no
38,9927.23,38586.08,46,no,17,no,4281.2,5.5,yes
61,12914.13,2013.73,34,no,11,no,4366.7,9.7,yes
-10,14901.11,15128.71,42,no,20,no,1873.0,1.1,no
42,9588.28,22616.51,35,no,19,no,2910.5,9.8,yes
46,40.92,46219.22,25,no,10,no,3379.9,7.9,yes
50,4442.56,4569.65,14,no,2,no,1751.0,3.5,no
57,14993.4,27362.7,8,no,9,yes,3759.3,6.7,yes
71,7468.145,41384.22,45,yes,18,no,1137.8,9.2,yes
62,8729.33,23587.35,24,no,20,no,1619.2,5.50938715643135,no
37,251.55,37446.77,35,no,1,no,4733.7,4.0,no
50,12098.02,14439.79,48,no,23,no,1466.3,8.8,yes
72,3163.54,16597.45,2,no,17,no,577.2,1.8,no
46,10371.62,14396.71,9,yes,13,no,3883.5,15.0,yes
72,1412.01,38595.63,42,no,23,no,345.4,5.0,no
54,8207.28,25282.81,12,no,14,no,2500.6287832408643,3.7,yes
71,7057.71,1135.55,23,yes,1,no,2779.4,4.3,yes
65,14017.45,17292.99,16,no,13,no,4874.6,6.1,no
33,5194.52,12023.54,19,no,11,no,528.8,7.0,yes
28,9609.28,1372.46,39,yes,17,no,2384.6,8.1,yes
25,458.74,13919.44,7,no,23,no,186.4,2.3,no
53,2711.66,38597.09,37,no,7,no,1846.9,9.2,no
29,214.35,10476.41,5,no,18,no,4692.0,2.7,no
35,5803.61,25840.61,33,no,4,no,4163.7,1.0,no
24,7468.145,13694.56,17,no,15,no,553.7,8.2,yes
38,11923.46,2952.56,13,no,5,no,2968.0,1.9,no
55,11731.07,6203.89,34,no,5,no,1796.2,7.9,yes
74,1338.16,38943.49,23,no,13,no,1721.3,1.7,no
51,931.42,4277.71,36,no,13,no,4525.1,7.3,yes
58,8251.59,22417.21,4,yes,4,no,2609.4,4.6,yes
19,8048.67,14511.13,32,no,10,no,3105.5,8.4,yes
60,10747.29,24507.69,3,no,11,no,1727.7,1.4,no
72,11596.99,32137.96,45,no,11,no,4739.9,8.2,yes
69,10475.78,14381.16,30,no,12,no,4048.6,9.7,yes
22,354.86,5015.52,35,no,11,no,2802.1,2.2,no
47,12751.85,7348.56,29,no,19,no,2964.8,4.2,no
69,11900.61,14410.55,40,no,8,yes,4612.0,9.1,yes
59,7543.92,19346.91,7,yes,19,no,1651.9,4.0,no
46,3075.32,42295.77,8,no,20,no,1695.2,5.4,no
18,7468.145,38829.93,37,no,19,no,2224.0,8.5,no
46,9234.44,46170.45,42,yes,7,no,1369.5,1.3,yes
